trial,run_seed,problem_size,algorithm,cost_km,runtime_s
0,0,50,Nearest Neighbor,6382.88,0.0
0,0,50,Ant Colony Optimization,3145.55,6.76
0,0,50,Lib Optimization,10835.86,0.94
0,0,50,LKH Algorithm,2510.44,0.4
0,1,50,Nearest Neighbor,6382.88,0.0
0,1,50,Ant Colony Optimization,3035.23,6.64
0,1,50,Lib Optimization,10109.0,0.94
0,1,50,LKH Algorithm,2510.44,0.39
0,2,50,Nearest Neighbor,6382.88,0.0
0,2,50,Ant Colony Optimization,3049.37,6.63
0,2,50,Lib Optimization,12159.92,0.63
0,2,50,LKH Algorithm,2510.44,0.38
0,3,50,Nearest Neighbor,6382.88,0.0
0,3,50,Ant Colony Optimization,3062.58,6.62
0,3,50,Lib Optimization,9889.04,0.82
0,3,50,LKH Algorithm,2510.44,0.39
0,4,50,Nearest Neighbor,6382.88,0.0
0,4,50,Ant Colony Optimization,3087.24,6.64
0,4,50,Lib Optimization,11151.22,0.55
0,4,50,LKH Algorithm,2510.44,0.4
0,5,50,Nearest Neighbor,6382.88,0.0
0,5,50,Ant Colony Optimization,3327.05,6.63
0,5,50,Lib Optimization,13464.02,0.75
0,5,50,LKH Algorithm,2510.44,0.4
0,6,50,Nearest Neighbor,6382.88,0.0
0,6,50,Ant Colony Optimization,3071.67,6.63
0,6,50,Lib Optimization,10776.67,0.66
0,6,50,LKH Algorithm,2510.44,0.41
0,7,50,Nearest Neighbor,6382.88,0.0
0,7,50,Ant Colony Optimization,2976.33,6.62
0,7,50,Lib Optimization,12587.58,0.67
0,7,50,LKH Algorithm,2510.44,0.38
0,8,50,Nearest Neighbor,6382.88,0.0
0,8,50,Ant Colony Optimization,3371.97,6.63
0,8,50,Lib Optimization,11124.49,0.84
0,8,50,LKH Algorithm,2510.44,0.39
0,9,50,Nearest Neighbor,6382.88,0.0
0,9,50,Ant Colony Optimization,3363.46,6.63
0,9,50,Lib Optimization,10548.14,0.65
0,9,50,LKH Algorithm,2510.44,0.37
1,0,50,Nearest Neighbor,3706.09,0.0
1,0,50,Ant Colony Optimization,2638.89,6.62
1,0,50,Lib Optimization,7958.86,0.86
1,0,50,LKH Algorithm,2225.17,0.34
1,1,50,Nearest Neighbor,3706.09,0.0
1,1,50,Ant Colony Optimization,2492.18,6.7
1,1,50,Lib Optimization,11236.66,0.9
1,1,50,LKH Algorithm,2225.17,0.35
1,2,50,Nearest Neighbor,3706.09,0.0
1,2,50,Ant Colony Optimization,2609.5,6.71
1,2,50,Lib Optimization,9937.24,0.86
1,2,50,LKH Algorithm,2225.17,0.35
1,3,50,Nearest Neighbor,3706.09,0.0
1,3,50,Ant Colony Optimization,2698.81,6.7
1,3,50,Lib Optimization,8402.31,1.02
1,3,50,LKH Algorithm,2225.17,0.35
1,4,50,Nearest Neighbor,3706.09,0.0
1,4,50,Ant Colony Optimization,2556.13,6.7
1,4,50,Lib Optimization,9511.34,0.94
1,4,50,LKH Algorithm,2225.17,0.35
1,5,50,Nearest Neighbor,3706.09,0.0
1,5,50,Ant Colony Optimization,2593.99,6.71
1,5,50,Lib Optimization,9357.71,0.7
1,5,50,LKH Algorithm,2225.17,0.35
1,6,50,Nearest Neighbor,3706.09,0.0
1,6,50,Ant Colony Optimization,2593.99,6.71
